"","t2_BS_C.mzML","t0_BS_C.mzML","t1_BS_C.mzML","t5_BS_C.mzML","t3_BS_3.mzML","t2_BS_2.mzML","t3_BS_C.mzML","t2_BS_1.mzML","t3_BS_2.mzML","t1_BS_1.mzML","t2_BS_3.mzML","t1_BS_3.mzML","t1_BS_2.mzML","t3_BS_1.mzML","t4_BS_C.mzML","t6_BS_C.mzML","t4_BS_2.mzML","t0_BS_3.mzML","t0_BS_2.mzML","t7_BS_C.mzML","t8_BS_C.mzML","t7_BS_2.mzML","t9_BS_C.mzML","t8_BS_1.mzML","t7_BS_3.mzML","t7_BS_1.mzML","t8_BS_2.mzML","t6_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t5_BS_3.mzML","t6_BS_2.mzML","t5_BS_1.mzML","t6_BS_3.mzML","t0_BS_1.mzML","t9_BS_1.mzML","t5_BS_2.mzML","t8_BS_3.mzML","t9_BS_3.mzML","t9_BS_2.mzML"
"7183_1072.687_6.363",3766,3766,3766,1527755.9,1264744.6,1029157.75,1233024.9,1030069.7,1471860.9,886305.8,989420.4,728826.1,943473.9,1054090.8,1443625,1584574.4,1159060.9,784125.6,433459.03,754346.5,573105.56,617833.06,467593.16,524875.56,645704.1,562271.3,703961.25,1574054.6,1509162.5,1180582.8,1460811.9,1659830.6,1357936.5,1608842.6,746623.5,491932.53,1333227.1,714285.9,650143.4,853381.25
"7184_1050.706_6.363",3766,3766,3766,716617.1,542211.1,505315.47,560487,521318.62,614472.7,518346.75,471145.12,380263.44,526148.56,468582.44,643444.44,646929.1,497832.4,510181.66,314108.03,309907.06,242538.67,267084.9,201129.22,212547.72,282073.5,248702.83,311237.6,698813.5,604569.75,529838.7,618813.3,711224.5,582853.8,688009.1,494594.75,204506.12,568519.25,306553.94,254170.75,335166.7
"7185_1094.669_6.364",3766,3766,3766,202096.42,218060.42,186637.7,199373.8,179576.05,240218.47,192460.58,196671.7,158926.1,195780.06,181203.16,211125.22,224656.67,203822.83,144546.47,91726.22,134353.62,120554.65,117848.336,101052.664,113101.695,114101.984,109162.63,135314.33,226954.11,227183.62,189585.86,214783.69,221237.56,222532.06,199585.27,125120.83,108130.8,219603.61,128576.984,131896.28,159635.03
"7187_1109.643_6.389",3766,3766,3766,11075.567,12847.898,10135.4795,11715.746,7080.622,16349.677,11457.445,11535.186,8586.191,13901.632,13769.8,18235.203,14496.58,9899.198,5134.6924,3766,3766,7429.042,5761.478,3766,6864.7817,5413.1816,7298.24,5388.7197,15171.3125,6444.0146,11427.731,17538.793,22727.422,5553.282,13513.1875,6414.8457,6164.1006,10230.546,9647.031,9736.174,9247.298
"7188_575.413_6.317",24326.848,3766,3766,4111.1104,3766,3766,3766,3766,3766,3892.7104,5022.87,11246.036,3969.695,3766,5989.2734,4324.5947,9857.75,3766,3766,9495.95,3964.7847,4051.2988,6021.7974,6241.1846,5241.575,3766,11881.812,11865.455,8375.513,3766,7908.787,17003.254,17699.166,16486.514,3766,8480.27,9136.588,7049.5293,3766,17527.107
"7190_242.248_6.366",3766,3766,3766,223642.64,612384.9,319463.47,326601.12,315164.1,742914.9,269839.6,286311.44,250244.58,360625.72,305847.84,575823.6,210911.98,257184.2,3766,3766,277380.56,102318.33,179723.7,120831.11,135746.6,155559.11,157295.11,152075.6,291503.56,303202.97,302104.22,339068.44,342872.84,316064,317361.44,3766,110490.375,732070.25,134188.12,115246.32,191015.03
"7196_1105.659_6.367",3766,3766,3766,17433.229,17710.377,18144.254,19775.533,19283.225,23960.033,19325.29,17478.871,18100.58,16883.66,18545.445,20034.428,19215.672,24019.033,7504.5024,6290.3564,12498.091,8923.534,10791.913,10690.901,12573.883,12086.876,12349.396,13449.865,18363.672,20919.217,16855.723,19831.44,8147.8525,20000.38,16033.6045,9555.625,9048.706,21212.688,8965.741,12923.25,16810.754
"7197_438.37_6.365",3766,3766,3766,3766,8671.521,10734.841,3766,9706.951,11047.901,8719.301,14002.943,16002.493,11032.463,14259.844,3766,3766,22119.004,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,9778.518,17164.37,11244.966,9510.857,16434.781,11685.361,10819.645,3766,3766,13095.536,3766,3766,3766
"7199_1116.651_6.37",3766,3766,3766,56399.273,62318.535,54555.66,53810.645,54479.855,70203.44,60571.48,62235.82,52029.54,59232.715,53731.227,58922.844,61930.414,64325.984,38665.445,20688.348,37580.16,36442.77,34760.066,34753.992,34577.97,31639.145,34500.086,42949.88,56955.637,62273.832,56646.043,59248.617,62096.848,56893.348,50953.67,34063.195,35020.395,62379.793,35827.78,41509.926,47372.414
"7200_704.4_6.37",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,69843.91,79277.99,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,88810.22,3766,3766,3766,3766,3766
"7210_817.491_6.371",3766,3766,3766,13965.295,24609.656,12046.258,16004.784,12844.172,21220.654,14336.05,15023.168,13665.077,14817.849,13597.868,19218.28,17104.328,16240.049,12293.505,7908.1895,9627.482,9680.324,5393.8003,10883.833,5485.7383,9821.976,6273.323,7977.6904,16484.191,18604.426,17193.203,22443.121,17378.95,19763.21,21412.865,9869.541,7992.896,18390.988,10862.538,21982.09,9936.267
"7211_710.462_6.37",3766,3766,3766,3766,3766,6687.947,7223.946,8116.7153,8836.555,18320.867,6176.0776,15098.992,18841.326,7782.6436,5556.3545,3766,11070.63,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6632.873,6033.664,3766,3766,3766,3766,3766,3766,6683.716,3766,3766,3766
"7212_691.367_6.357",3766,3766,3766,4411.2354,3766,3766,3766,3766,5219.2153,3766,3766,3766,3766,3766,3766,22948.56,3766,3766,3766,3766,3766,4102.877,4279.654,8664.944,3766,3766,5093.9556,3766,3766,3766,3766,3766,4975.683,3766,3766,5068.0913,5801.8413,5889.374,5161.2373,8287.992
"7217_775.518_6.376",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,10398.515,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,18899.334,3766,3766,3766,14965.85,3766,3766,3766,3766,3766,3766,3766,3766
"7219_551.503_6.35",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,15212.291,3766,53332.887,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,26876.69,3766,3766,9424.036,31315.705
"7221_399.308_6.361",65714.12,26809.867,56932.6,14487.549,24587.639,23937.172,3766,17592.945,53426.438,19188.96,20602.691,19771.73,25599.71,18423.646,28561.738,11336.3545,42962.54,23467.36,32210.375,41018.53,54980.33,14433.824,53483.473,58240.246,17649.365,16323.262,16300.037,52534.234,16306.707,22082.309,14888.885,32412.922,39309.07,11278.251,8218.061,31443.705,53519.516,55591.97,19987.34,33733.668
"7222_548.386_6.397",3766,224461.73,16919.297,12621.882,19017.006,70993.21,18847.762,122465.9,24992.518,41561.594,31333.137,36120.953,33440.516,31716.67,16310.504,15683.537,24734.957,2642092.2,3935113.2,10018.352,15156.724,7157.9575,21156.14,8942.043,9063.055,12131.092,6986.497,10176.994,14075.573,23920.895,12451.337,9451.074,21161.031,10515.444,4522355.5,19226.475,13175.25,4715.3496,14169.074,12396.637
"7226_549.319_6.384",3766,3766,3766,30437.045,70764.46,36215.188,73493.36,51092.812,53124.773,69600.74,65331.96,38983.676,107280.66,30872.676,26621.898,38391.387,79931.26,3766,3766,24738.232,12251.25,27709.164,12065.143,26742.5,20460.719,29554.213,13792.74,67222.15,35053.39,79426.82,44219.406,84939.31,83626.92,37127.023,3766,11870.024,89578.46,16494.395,18299.602,18116.816
"7227_451.218_6.386",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,19552.734,28911.947,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,19535.57,3766,3766,3766,3766,3766
"7228_551.268_6.386",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,85786.06,105806.805,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,70425.11,3766,3766,3766,3766,3766
"7229_602.375_6.386",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,40817.098,67855.164,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,35170.19,3766,3766,3766,3766,3766
"7230_686.475_6.356",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5008.212,3766,10767.558,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,9788.021,16596.291
"7231_278.248_6.387",3766,3766,3766,10612.863,11443.963,15748.73,12641.807,13467.886,14182.787,13389.939,17344.016,12577.429,17765.65,15984.57,11365.473,10617.258,12262.11,3766,3766,3766,3766,3766,3766,3766,3914.9539,3766,3766,9536.633,11331.483,13317.81,10633.809,12130.894,11215.253,10666.804,3766,3766,13728.51,3766,3766,4329.6646
"7233_488.3_6.401",3766,1249510.2,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5965.8477,3766,3766,3766,3766,1396017.5,39106.625,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,262821.75,3766,3766,3766,3766,3766
"7238_558.379_6.408",3766,3766,3766,14492.52,4271.9556,3766,3766,3766,35113.535,3766,3885.9336,12943.428,55702.46,3766,3766,3766,3766,12574.5625,3766,30944.98,12105.49,3766,46870.59,3766,3766,3766,3766,46520.48,4558.9883,3766,9641.263,57038.33,33155.227,11732.754,3766,20275.094,22004.434,3844.4314,35100.105,35173.746
"7241_437.193_6.35",3766,53394.52,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,146412.81,7145.6274,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,27635.418,3766,3766,3766,3766,3766
"7245_717.468_6.379",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,29237.88,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,34198.65,35291.11,3766
"7253_659.527_6.37",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,11155.46,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,29933.291,3766,33530.63,3766,3766,3766,3766,3766,3766
