"","t2_BS_C.mzML","t0_BS_C.mzML","t1_BS_C.mzML","t5_BS_C.mzML","t3_BS_3.mzML","t2_BS_2.mzML","t3_BS_C.mzML","t2_BS_1.mzML","t3_BS_2.mzML","t1_BS_1.mzML","t2_BS_3.mzML","t1_BS_3.mzML","t1_BS_2.mzML","t3_BS_1.mzML","t4_BS_C.mzML","t6_BS_C.mzML","t4_BS_2.mzML","t0_BS_3.mzML","t0_BS_2.mzML","t7_BS_C.mzML","t8_BS_C.mzML","t7_BS_2.mzML","t9_BS_C.mzML","t8_BS_1.mzML","t7_BS_3.mzML","t7_BS_1.mzML","t8_BS_2.mzML","t6_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t5_BS_3.mzML","t6_BS_2.mzML","t5_BS_1.mzML","t6_BS_3.mzML","t0_BS_1.mzML","t9_BS_1.mzML","t5_BS_2.mzML","t8_BS_3.mzML","t9_BS_3.mzML","t9_BS_2.mzML"
"126_176.093_0.53",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,1.72261930978037e-05,6.21996591747217e-06,1.31520485551145e-05,1.78027061463085e-05,8.13261479399491e-06,1.34581292089134e-05,1.40697401704675e-05,1.10674700776427e-05,1.00080614106914e-05,1.1745685903726e-05,1.29461910688614e-05,2.32697087291837e-05,2.44739893804495e-05,1.26828869248941e-05,1.65622587891439e-05,1.30183865649298e-05,2.06442268001829e-05,1.0252978740571e-05,1.60622304696377e-05,2.52970837367083e-05,1.44809055562061e-05,1.47498890107897e-05,1.31481513661716e-05,1.64343813242733e-05,1.91773693515911e-05,7.06128556751307e-06,1.06757793895666e-05,8.25163534760095e-06,1.74792095196658e-05,6.59202879136901e-06,1.64259755614703e-05,1.99501909299595e-05,1.93185524313778e-05,1.13725252737262e-05,1.59310217180318e-05,1.62226638909175e-05,1.80135256513092e-05
"128_235.108_0.552",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,8.24683870980809e-05,5.47298364998805e-05,5.36341330233962e-05,8.05705292903634e-05,5.4533059646148e-05,4.99793723019306e-05,5.35937257649994e-05,5.36616284307121e-05,5.38484019897049e-05,5.40405205700355e-05,5.29913524378147e-05,8.16618092172658e-05,5.89644727238302e-05,5.7888245573395e-05,7.21851999486734e-05,6.62141315702196e-05,0.000100775226704806,9.462422763305e-05,6.44465704166722e-05,9.41239551298675e-05,6.5068501962427e-05,6.63673974491504e-05,6.23983024004968e-05,6.42818234671113e-05,5.27584563667858e-05,5.73149603766766e-05,5.69225072327952e-05,5.99316244304314e-05,3.87620868880975e-05,6.76097561700136e-05,5.21097608199396e-05,5.43026833785494e-05,6.42714212494736e-05,6.11090886070452e-05,6.65528840762045e-05,6.5621921251151e-05,6.53210674575245e-05
"129_205.01_0.539",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,3.83064156640899e-05,2.66842508240203e-05,2.55412824611534e-05,3.77325878438758e-05,2.19640068353094e-05,2.49693728983179e-05,2.60061147999375e-05,2.46863181390221e-05,2.15243186763712e-05,2.27973467751088e-05,2.49824752782717e-05,4.08529965310945e-05,4.28229072019314e-05,2.77295065208907e-05,3.14692658130822e-05,2.35845232758817e-05,4.62744889203536e-05,4.98439276420337e-05,3.30784323450412e-05,4.01016880561982e-05,2.89611694800728e-05,2.89384426746559e-05,2.99106062691919e-05,3.12455918796467e-05,2.94046651617815e-05,2.75520339382395e-05,2.43791213710911e-05,2.28500689604267e-05,2.94380620858496e-05,2.25697651929722e-05,2.98149440548844e-05,3.08983511747563e-05,2.8707772758089e-05,2.68979300324094e-05,2.97299509606828e-05,2.85327284048474e-05,8.01523040965933e-06
"134_173.071_0.546",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,5.59656022080554e-05,4.10866351473343e-05,3.88414314544413e-05,5.89501794255149e-05,3.45727664678388e-05,4.29991927895136e-05,4.18090925723439e-05,3.83052537948866e-05,3.56161674188382e-05,3.80764201759384e-05,3.94304021639e-05,6.13976838909562e-05,6.35015523318165e-05,4.08640457626325e-05,5.2263268190699e-05,4.2757071573969e-05,8.52169403799605e-05,9.20777715373877e-05,5.7758945756037e-05,8.74247053037614e-05,5.52261701559982e-05,5.60146746091432e-05,5.48984583593695e-05,5.89938052728117e-05,4.46428294856515e-05,4.1076988814004e-05,3.70273090409075e-05,3.41969557993318e-05,4.30060769237963e-05,3.28822720590483e-05,4.55696323466919e-05,5.13036073808585e-05,6.29022299475669e-05,3.98834399931509e-05,5.68839441321277e-05,6.06665386514336e-05,6.73527884979543e-05
"137_265.118_0.547",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,4.44414761278925e-05,3.11635056003653e-05,2.98852386697923e-05,4.31026830821178e-05,2.60140404795685e-05,2.91003259674961e-05,3.01043852950068e-05,2.83776507522333e-05,2.61679974268264e-05,2.81562887470127e-05,2.95471842868345e-05,4.74104495790459e-05,5.1036535979901e-05,3.2195221600848e-05,4.10455323258023e-05,3.19083026331352e-05,5.71679208087009e-05,6.33292682089389e-05,3.85452186861583e-05,5.86561547731492e-05,3.60710315059746e-05,3.70459483821007e-05,3.48685404399382e-05,3.95581547721303e-05,3.52564062218996e-05,3.19215207350757e-05,2.83910421956084e-05,2.5651707976746e-05,3.58338471874637e-05,2.58631579899657e-05,3.31065779439802e-05,4.25706930628049e-05,4.12039433503113e-05,3.27637258183851e-05,3.77512818372235e-05,4.13300644116753e-05,4.59340373717705e-05
"138_183.113_0.581",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,3.00844756894488e-05,1.96482895456489e-05,9.03908256902183e-06,2.2955284703074e-05,1.24625094077084e-05,1.8766110423737e-05,1.63046019464157e-05,1.68018233181536e-05,1.64061886747812e-05,1.8697116732408e-05,1.87646501341428e-05,3.00180106931634e-05,3.01841158038017e-05,5.5560225940992e-06,3.21161675093231e-05,1.65502536853035e-05,3.59225751768181e-05,1.72351642877645e-05,2.32421699763645e-05,3.47121407923529e-05,1.00285630394233e-05,2.40701650005737e-05,1.68213302234941e-05,1.56856910535428e-05,2.00359427910464e-05,9.56664683302131e-06,2.17663121936799e-05,1.85567056638464e-05,1.95471455399858e-05,1.4079471525519e-05,2.68799838549031e-06,2.50302342878448e-05,9.24919295590536e-06,1.58598097139788e-05,1.72680628484512e-05,3.71090330541295e-05,3.62395727471131e-05
"139_179.079_0.543",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,4.30555991636603e-06,2.92151586187969e-06,3.00639419017203e-06,4.29452532642899e-06,2.95672292611229e-06,2.73750973233777e-06,3.11766286978731e-06,2.97189937835549e-06,3.01514914187577e-06,2.97042559248229e-06,3.01604194536981e-06,4.22240052733224e-06,4.11287667747037e-06,3.08687867207116e-06,4.37717721936171e-06,4.37537449381179e-06,5.04895147607392e-06,7.50671404270842e-06,3.51046234868182e-06,4.73023579490092e-06,8.75024477945064e-06,3.44077077008186e-06,3.66504879422454e-06,9.67424514097964e-06,2.94402522197156e-06,2.9737141352116e-06,3.03699776824265e-06,2.93108135972365e-06,2.86527218689725e-06,3.12583209446197e-06,2.68799838549031e-06,4.51947486525188e-06,1.53325962442612e-05,2.95365149068321e-06,7.45556808592475e-06,1.21656840918188e-05,1.61948587002939e-05
"140_221.093_0.551",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,6.27691791629615e-05,4.36891309413807e-05,4.40951332422333e-05,6.24038056757458e-05,3.83496683174179e-05,4.21701482163813e-05,4.25185819097362e-05,4.14723941783401e-05,3.77961314571472e-05,3.96371926802207e-05,4.28596298428728e-05,6.79638239169442e-05,6.6951756771107e-05,4.59696283323842e-05,5.28725349962435e-05,4.23449417360602e-05,7.64475283727857e-05,6.45284806307688e-05,5.3579676011848e-05,7.50607984033594e-05,4.28922769057645e-05,5.15897840121743e-05,5.00166620251649e-05,5.28888920230003e-05,4.88813150805472e-05,4.59708592243886e-05,3.98735678659383e-05,3.70469148515345e-05,4.91675434744682e-05,3.49814392933291e-05,4.70676911048958e-05,5.48278005151036e-05,5.36382839334404e-05,4.53394366342932e-05,5.3099871099572e-05,5.36679801384372e-05,6.30836976434577e-05
"141_201.123_0.56",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,0.00157167399329979,0.00101721984712065,0.00103627741416431,0.00153164416818284,0.000996751496006318,0.000944740631690948,0.000973181527829235,0.00101491160801741,0.000957291518261077,0.000939842026462865,0.00103426653374275,0.00154874298985251,0.0015764495764948,0.0010616905259044,0.00166760316904906,0.00148926489835512,0.00191026583050511,0.00190162088314617,0.00123791383851284,0.00182616342227335,0.0012029774378236,0.00124522873766677,0.00119993123338422,0.00124610513162019,0.00103065656045501,0.00105911537326911,0.001042582140915,0.00105559789749676,0.00106276993008417,0.00108951093456069,0.00100343129618739,0.00154862710434482,0.00122591905458084,0.00110920664178687,0.0012420447554071,0.00123350373675248,0.0013654132736918
"143_310.114_0.564",1.85627871611954e-05,2.69261740592409e-05,2.07135730427848e-05,4.30555991636603e-06,2.92151586187969e-06,3.00639419017203e-06,4.29452532642899e-06,2.95672292611229e-06,2.73750973233777e-06,3.11766286978731e-06,2.97189937835549e-06,3.01514914187577e-06,2.97042559248229e-06,3.01604194536981e-06,4.22240052733224e-06,4.11287667747037e-06,3.08687867207116e-06,4.37717721936171e-06,4.37537449381179e-06,6.94662924896101e-05,4.72190973521398e-05,5.1445531161753e-05,4.73023579490092e-06,2.60295290357986e-05,4.76454839404752e-05,4.6599552905995e-05,3.03995484645074e-05,2.94402522197156e-06,2.9737141352116e-06,3.03699776824265e-06,2.93108135972365e-06,2.86527218689725e-06,3.12583209446197e-06,2.68799838549031e-06,4.51947486525188e-06,3.40775375743023e-06,2.95365149068321e-06,2.30609019252622e-05,3.12119230845091e-06,4.18156559409428e-06
